id,name,element_type_name,team_name,now_cost,status,chance_of_playing,total_points,expected_points
674,RhysBennett,DEF,Man Utd,40,a,1.0,0,0.0
717,DanielBentley,GKP,Wolves,40,a,1.0,0,0.0
697,DominicSadi,FWD,Bournemouth,45,a,1.0,0,0.0
213,MarekRodák,GKP,Fulham,43,a,1.0,0,0.0
348,TomHeaton,GKP,Man Utd,39,a,1.0,0,0.0
600,BenKnight,MID,Man City,45,a,1.0,0,0.0
581,AlexSmithies,GKP,Leicester,40,a,1.0,0,0.0
532,KevinMbabu,DEF,Fulham,43,a,1.0,0,0.0
501,NathanielPhillips,DEF,Liverpool,39,a,1.0,0,0.0
380,LyleTaylor,FWD,Nott'm Forest,42,a,1.0,0,0.0
328,PhilJones,DEF,Man Utd,39,a,1.0,0,0.0
644,OwenGoodman,GKP,Crystal Palace,40,a,1.0,0,0.0
641,MartialGodo,MID,Fulham,45,a,1.0,0,0.0
710,JakubKiwior,DEF,Arsenal,40,a,1.0,0,0.0
502,ScottCarson,GKP,Man City,38,a,1.0,0,0.0
560,StanleyMills,MID,Everton,44,a,1.0,0,0.0
236,KristofferKlaesson,GKP,Leeds,39,a,1.0,0,0.0
162,JackButland,GKP,Man Utd,44,a,1.0,0,0.0
630,EthanNwaneri,MID,Arsenal,45,a,1.0,0,0.0
359,RyanFraser,MID,Newcastle,52,a,1.0,0,0.0
720,WestonMcKennie,MID,Leeds,50,a,1.0,0,0.0
340,JadonSancho,MID,Man Utd,71,a,1.0,0,0.0
424,WillyCaballero,GKP,Southampton,39,a,1.0,0,0.0
553,OliverHammond,MID,Nott'm Forest,43,a,1.0,0,0.0
735,WanyaMarçal-Madivadua,MID,Leicester,45,a,1.0,0,0.0
643,KobbieMainoo,MID,Man Utd,45,a,1.0,0,0.0
633,MatthewCox,GKP,Brentford,39,a,1.0,0,0.0
695,DanielAdu-Adjei,FWD,Bournemouth,45,a,1.0,0,0.0
379,SteveCook,DEF,Nott'm Forest,43,a,1.0,0,0.0
350,MattRitchie,DEF,Newcastle,42,a,1.0,0,0.0
517,ThomasStrakosha,GKP,Brentford,43,a,1.0,0,0.0
740,KrisztiánHegyi,GKP,West Ham,40,a,1.0,0,0.0
737,BenGreenwood,DEF,Bournemouth,40,a,1.0,0,0.0
176,AsmirBegović,GKP,Everton,40,a,1.0,0,0.0
733,PedroPorro,DEF,Spurs,50,a,1.0,0,0.0
298,CalvinRamsay,DEF,Liverpool,39,a,1.0,0,0.0
706,EuanPollock,FWD,Bournemouth,45,a,1.0,0,0.0
707,ViljamiSinisalo,GKP,Aston Villa,40,a,1.0,0,0.0
531,RúbenNascimento Vinagre,DEF,Everton,43,a,1.0,0,0.0
247,DarkoGyabi,MID,Leeds,43,a,1.0,0,0.0
605,ReeceWelch,DEF,Everton,40,a,1.0,0,0.0
289,CaoimhinKelleher,GKP,Liverpool,40,a,1.0,0,0.0
578,JoelRobles,GKP,Leeds,40,a,1.0,0,0.0
105,ShaneDuffy,DEF,Fulham,43,a,1.0,0,0.0
372,JamalLewis,DEF,Newcastle,44,a,1.0,0,0.0
452,AlfieDevine,MID,Spurs,43,a,1.0,0,0.0
659,Mateo JosephFernández,FWD,Leeds,45,a,1.0,0,0.0
669,DivinMubama,FWD,West Ham,45,a,1.0,0,0.0
712,MáximoPerrone,MID,Man City,45,a,1.0,0,0.0
592,HarveyDavies,GKP,Liverpool,40,a,1.0,0,0.0
726,SasaLukic,MID,Fulham,45,a,1.0,0,0.0
343,BrandonWilliams,DEF,Man Utd,38,a,1.0,0,0.0
736,OdelugaOffiah,DEF,Brighton,40,a,1.0,0,0.0
296,FábioFreitas Gouveia Carvalho,MID,Liverpool,52,a,1.0,0,0.0
672,KadanYoung,MID,Aston Villa,45,a,1.0,0,0.0
192,MasonHolgate,DEF,Everton,43,a,1.0,0,0.0
631,LinoSousa,DEF,Arsenal,40,a,1.0,0,0.0
246,BrendenAaronson,MID,Leeds,54,a,1.0,10,2.0
64,JeffersonLerma Solís,MID,Bournemouth,48,a,1.0,10,2.0
487,RayanAït-Nouri,DEF,Wolves,42,a,1.0,10,2.0
33,LucasDigne,DEF,Aston Villa,46,a,1.0,10,2.0
330,HarryMaguire,DEF,Man Utd,47,a,1.0,10,2.0
729,KeylorNavas,GKP,Nott'm Forest,45,a,1.0,2,2.0
443,CristianRomero,DEF,Spurs,49,a,1.0,10,2.0
270,LukeThomas,DEF,Leicester,42,a,1.0,10,2.0
259,YouriTielemans,MID,Leicester,62,a,1.0,10,2.0
714,AntoineSemenyo,FWD,Bournemouth,50,a,1.0,2,2.0
624,SamuelEdozie,MID,Southampton,47,a,1.0,10,2.0
582,RemoFreuler,MID,Nott'm Forest,49,a,1.0,10,2.0
277,ThiagoAlcántara do Nascimento,MID,Liverpool,52,a,1.0,10,2.0
475,ConorCoady,DEF,Everton,49,a,1.0,10,2.0
254,DannyWard,GKP,Leicester,40,a,1.0,10,2.0
120,MoisésCaicedo Corozo,MID,Brighton,50,a,1.0,10,2.0
6,ThomasPartey,MID,Arsenal,47,a,1.0,10,2.0
167,MarcGuéhi,DEF,Crystal Palace,44,a,1.0,15,3.0
619,WilfriedGnonto,FWD,Leeds,50,a,1.0,15,3.0
470,IssaDiop,DEF,Fulham,43,a,1.0,15,3.0
301,KevinDe Bruyne,MID,Man City,124,a,1.0,15,3.0
558,HugoBueno López,DEF,Wolves,39,a,1.0,15,3.0
356,CallumWilson,FWD,Newcastle,71,a,1.0,15,3.0
285,TrentAlexander-Arnold,DEF,Liverpool,73,a,1.0,15,3.0
691,MaximilianWöber,DEF,Leeds,45,a,1.0,9,3.0
723,HamedTraorè,MID,Bournemouth,45,a,1.0,3,3.0
142,MasonMount,MID,Chelsea,74,a,1.0,15,3.0
388,JoeWorrall,DEF,Nott'm Forest,42,a,1.0,15,3.0
455,LukaszFabianski,GKP,West Ham,50,a,1.0,15,3.0
467,DeclanRice,MID,West Ham,47,a,1.0,15,3.0
724,EnzoFernández,MID,Chelsea,50,a,1.0,3,3.0
705,DangoOuattara,MID,Bournemouth,50,a,1.0,7,3.5
79,ChristianNørgaard,MID,Brentford,53,a,1.0,20,4.0
39,TyroneMings,DEF,Aston Villa,43,a,1.0,20,4.0
113,RobertSánchez,GKP,Brighton,46,a,1.0,20,4.0
159,JordanAyew,MID,Crystal Palace,53,a,1.0,20,4.0
480,Rúbenda Silva Neves,MID,Wolves,54,a,1.0,20,4.0
411,CheAdams,FWD,Southampton,63,a,1.0,20,4.0
85,RicoHenry,DEF,Brentford,45,a,1.0,25,5.0
689,BenoîtBadiashile,DEF,Chelsea,50,a,1.0,20,5.0
128,ThiagoEmiliano da Silva,DEF,Chelsea,55,a,1.0,25,5.0
152,VicenteGuaita,GKP,Crystal Palace,44,a,1.0,25,5.0
614,WillianBorges da Silva,MID,Fulham,55,a,1.0,25,5.0
133,KepaArrizabalaga,GKP,Chelsea,46,a,1.0,35,7.0
357,KieranTrippier,DEF,Newcastle,61,a,1.0,35,7.0
715,MateusCardoso Lemos Martins,MID,Leicester,55,a,1.0,8,8.0
684,David DatroFofana,FWD,Chelsea,50,a,1.0,1,0.25
679,FacundoBuonanotte,MID,Brighton,45,a,1.0,1,0.25
703,Danilodos Santos de Oliveira,MID,Nott'm Forest,45,a,1.0,1,0.5
681,Gustavo HenriqueFurtado Scarpa,MID,Nott'm Forest,50,a,1.0,2,0.5
690,JoãoFélix Sequeira,FWD,Chelsea,75,a,1.0,-2,-0.5
295,NecoWilliams,DEF,Nott'm Forest,39,a,1.0,5,1.0
240,CrysencioSummerville,MID,Leeds,42,a,1.0,5,1.0
271,PatsonDaka,FWD,Leicester,57,a,1.0,5,1.0
718,MatíasViña,DEF,Bournemouth,45,a,1.0,1,1.0
365,JacobMurphy,MID,Newcastle,42,a,1.0,5,1.0
731,KamaldeenSulemana,MID,Southampton,50,a,1.0,1,1.0
275,JordanHenderson,MID,Liverpool,53,a,1.0,5,1.0
417,RomainPerraud,DEF,Southampton,42,a,1.0,5,1.0
704,PabloSarabia,MID,Wolves,55,a,1.0,2,1.0
528,SékouMara,FWD,Southampton,53,a,1.0,5,1.0
200,TomCairney,MID,Fulham,47,a,1.0,5,1.0
469,PabloFornals Malla,MID,West Ham,49,a,1.0,5,1.0
711,JhonDurán,FWD,Aston Villa,55,a,1.0,1,1.0
163,WillHughes,MID,Crystal Palace,48,a,1.0,5,1.0
617,Pierre-EmerickAubameyang,FWD,Chelsea,84,a,1.0,5,1.0
732,PaulOnuachu,FWD,Southampton,55,a,1.0,1,1.0
728,MarcelSabitzer,MID,Man Utd,50,a,1.0,1,1.0
345,AnthonyMartial,FWD,Man Utd,65,a,1.0,5,1.0
725,NaouirouAhamada,MID,Crystal Palace,45,a,1.0,1,1.0
76,JordanZemura,DEF,Bournemouth,43,a,1.0,5,1.0
708,NoniMadueke,MID,Chelsea,55,a,1.0,1,1.0
623,DujeCaleta-Car,DEF,Southampton,45,a,1.0,5,1.0
564,StefanBajcetic,MID,Liverpool,44,a,1.0,5,1.0
116,AlexisMac Allister,MID,Brighton,54,a,1.0,5,1.0
709,VictorKristiansen,DEF,Leicester,45,a,1.0,1,1.0
573,RicoLewis,DEF,Man City,39,a,1.0,5,1.0
699,MykhailoMudryk,MID,Chelsea,71,a,1.0,2,1.0
716,JamesBree,DEF,Southampton,45,a,1.0,1,1.0
43,MattyCash,DEF,Aston Villa,46,a,1.0,5,1.0
413,LyancoSilveira Neves Vojnovic,DEF,Southampton,44,a,1.0,5,1.0
727,HarrySouttar,DEF,Leicester,45,a,1.0,-1,-1.0
682,MatheusSantos Carneiro Da Cunha,FWD,Wolves,55,a,1.0,5,1.25
680,CodyGakpo,MID,Liverpool,78,a,1.0,7,1.75
84,KristofferAjer,DEF,Brentford,45,a,1.0,12,2.4
589,Matheus LuizNunes,MID,Wolves,48,a,1.0,12,2.4
506,TylerAdams,MID,Leeds,49,a,1.0,12,2.4
178,SeamusColeman,DEF,Everton,44,a,1.0,12,2.4
503,João Filipe IriaSantos Moutinho,MID,Wolves,47,a,1.0,12,2.4
456,AngeloOgbonna,DEF,West Ham,44,a,1.0,12,2.4
618,Carlos ViníciusAlves Morais,FWD,Fulham,54,a,1.0,12,2.4
300,IlkayGündogan,MID,Man City,73,a,1.0,12,2.4
463,VladimirCoufal,DEF,West Ham,41,a,1.0,12,2.4
569,AlejandroGarnacho,MID,Man Utd,42,a,1.0,12,2.4
156,JoelWard,DEF,Crystal Palace,44,a,1.0,12,2.4
30,DannyIngs,FWD,West Ham,64,a,1.0,12,2.4
106,LewisDunk,DEF,Brighton,47,a,1.0,17,3.4
26,WilliamSaliba,DEF,Arsenal,53,a,1.0,17,3.4
199,JamesTarkowski,DEF,Everton,42,a,1.0,17,3.4
281,AlissonRamses Becker,GKP,Liverpool,54,a,1.0,17,3.4
238,IllanMeslier,GKP,Leeds,45,a,1.0,17,3.4
425,HugoLloris,GKP,Spurs,55,a,1.0,17,3.4
305,JackGrealish,MID,Man City,68,a,1.0,17,3.4
112,MarcCucurella Saseta,DEF,Chelsea,51,a,1.0,17,3.4
478,JoséMalheiro de Sá,GKP,Wolves,50,a,1.0,24,4.8
201,TimReam,DEF,Fulham,45,a,1.0,24,4.8
603,LucasTolentino Coelho de Lima,MID,West Ham,59,a,1.0,24,4.8
376,NickPope,GKP,Newcastle,55,a,1.0,29,5.8
95,BryanMbeumo,FWD,Brentford,58,a,1.0,29,5.8
358,DanBurn,DEF,Newcastle,46,a,1.0,29,5.8
526,BenMee,DEF,Brentford,48,a,1.0,34,6.8
81,DavidRaya Martin,GKP,Brentford,47,a,1.0,34,6.8
303,RiyadMahrez,MID,Man City,77,a,1.0,39,7.8
190,TomDavies,MID,Everton,49,a,1.0,3,0.6
562,ManorSolomon,MID,Fulham,49,a,1.0,3,0.6
512,JoeAyodele-Aribo,MID,Southampton,51,a,1.0,3,0.6
381,JackColback,MID,Nott'm Forest,41,a,1.0,3,0.6
436,RyanSessegnon,DEF,Spurs,44,a,1.0,3,0.6
299,KyleWalker,DEF,Man City,48,a,1.0,3,0.6
111,LeandroTrossard,MID,Arsenal,67,a,1.0,3,0.6
21,AinsleyMaitland-Niles,MID,Southampton,48,a,1.0,3,0.6
479,LeanderDendoncker,MID,Aston Villa,47,a,1.0,3,0.6
274,JamesMilner,MID,Liverpool,44,a,1.0,3,0.6
489,Toti AntónioGomes,DEF,Wolves,39,a,1.0,3,0.6
441,OliverSkipp,MID,Spurs,43,a,1.0,3,0.6
193,BenGodfrey,DEF,Everton,43,a,1.0,3,0.6
454,Richarlisonde Andrade,FWD,Spurs,84,a,1.0,3,0.6
509,FlynnDownes,MID,West Ham,42,a,1.0,3,0.6
231,DanielJames,MID,Fulham,60,a,1.0,3,0.6
125,JulioEnciso,FWD,Brighton,47,a,1.0,3,0.6
237,SamGreenwood,FWD,Leeds,41,a,1.0,3,0.6
510,AaronHickey,DEF,Brentford,49,a,1.0,6,1.2
331,FredericoRodrigues de Paula Santos,MID,Man Utd,51,a,1.0,6,1.2
311,BernardoVeiga de Carvalho e Silva,MID,Man City,68,a,1.0,6,1.2
468,TomasSoucek,MID,West Ham,51,a,1.0,6,1.2
37,JohnMcGinn,MID,Aston Villa,51,a,1.0,6,1.2
368,AllanSaint-Maximin,MID,Newcastle,61,a,1.0,6,1.2
661,LewisHall,MID,Chelsea,44,a,1.0,6,1.2
574,NorbertoMurara Neto,GKP,Bournemouth,45,a,1.0,6,1.2
168,Jean-PhilippeMateta,FWD,Crystal Palace,51,a,1.0,6,1.2
252,NampalysMendy,MID,Leicester,43,a,1.0,6,1.2
408,AdamArmstrong,FWD,Southampton,54,a,1.0,6,1.2
694,AlexandreMoreno Lopera,DEF,Aston Villa,45,a,1.0,8,2.6666666666666665
692,MislavOrsic,MID,Southampton,54,a,1.0,1,0.3333333333333333
688,KevinSchade,MID,Brentford,50,a,1.0,2,0.6666666666666666
693,CarlosAlcaraz,MID,Southampton,50,a,1.0,2,0.6666666666666666
313,OleksandrZinchenko,DEF,Arsenal,51,a,1.0,14,2.8
446,DejanKulusevski,MID,Spurs,79,a,1.0,14,2.8
211,HarrisonReed,MID,Fulham,44,a,1.0,14,2.8
459,CraigDawson,DEF,Wolves,48,a,1.0,14,2.8
278,AlexOxlade-Chamberlain,MID,Liverpool,49,a,1.0,14,2.8
577,AmadouOnana,MID,Everton,48,a,1.0,14,2.8
135,HakimZiyech,MID,Chelsea,55,a,1.0,14,2.8
315,RodrigoHernandez,MID,Man City,56,a,1.0,14,2.8
16,Gabrieldos Santos Magalhães,DEF,Arsenal,52,a,1.0,14,2.8
53,BoubacarKamara,MID,Aston Villa,48,a,1.0,14,2.8
611,IdrissaGueye,MID,Everton,49,a,1.0,14,2.8
3,GranitXhaka,MID,Arsenal,49,a,1.0,14,2.8
220,JoãoPalhinha Gonçalves,MID,Fulham,50,a,1.0,19,3.8
161,JeffreySchlupp,MID,Crystal Palace,47,a,1.0,19,3.8
428,SonHeung-min,MID,Spurs,116,a,1.0,19,3.8
83,JoshDasilva,MID,Brentford,41,a,1.0,19,3.8
483,DanielCastelo Podence,MID,Wolves,53,a,1.0,19,3.8
448,IvanPerišić,DEF,Spurs,55,a,1.0,19,3.8
484,MaxKilman,DEF,Wolves,43,a,1.0,23,4.6
15,AaronRamsdale,GKP,Arsenal,49,a,1.0,23,4.6
80,IvanToney,FWD,Brentford,77,a,1.0,23,4.6
189,DemaraiGray,MID,Everton,53,a,1.0,23,4.6
586,PervisEstupiñán,DEF,Brighton,46,a,1.0,23,4.6
407,JamesWard-Prowse,MID,Southampton,62,a,1.0,28,5.6
628,SergeAurier,DEF,Nott'm Forest,46,a,1.0,28,5.6
394,BrennanJohnson,FWD,Nott'm Forest,56,a,1.0,28,5.6
332,LukeShaw,DEF,Man Utd,53,a,1.0,33,6.6
318,ErlingHaaland,FWD,Man City,122,a,1.0,33,6.6
333,BrunoBorges Fernandes,MID,Man Utd,99,a,1.0,46,9.2
14,TakehiroTomiyasu,DEF,Arsenal,42,a,1.0,7,1.4
35,RobinOlsen,GKP,Aston Villa,39,a,1.0,7,1.4
70,PhilipBilling,MID,Bournemouth,51,a,1.0,7,1.4
337,VictorLindelöf,DEF,Man Utd,41,a,1.0,7,1.4
62,KiefferMoore,FWD,Bournemouth,52,a,1.0,7,1.4
294,HarveyElliott,MID,Liverpool,49,a,1.0,7,1.4
420,MohammedSalisu,DEF,Southampton,44,a,1.0,7,1.4
47,JacobRamsey,MID,Aston Villa,52,a,1.0,7,1.4
513,ClémentLenglet,DEF,Spurs,48,a,1.0,7,1.4
127,CésarAzpilicueta,DEF,Chelsea,48,a,1.0,7,1.4
406,MohamedElyounoussi,MID,Southampton,52,a,1.0,7,1.4
505,JoeRothwell,MID,Bournemouth,49,a,1.0,7,1.4
304,RaheemSterling,MID,Chelsea,97,a,1.0,11,2.2
284,AndrewRobertson,DEF,Liverpool,68,a,1.0,11,2.2
504,TyrellMalacia,DEF,Man Utd,42,a,1.0,11,2.2
458,MichailAntonio,FWD,West Ham,70,a,1.0,11,2.2
170,TyrickMitchell,DEF,Crystal Palace,44,a,1.0,11,2.2
182,JordanPickford,GKP,Everton,44,a,1.0,11,2.2
119,JeremySarmiento Morante,MID,Brighton,45,a,1.0,11,2.2
516,NathanCollins,DEF,Wolves,44,a,1.0,11,2.2
157,NathanielClyne,DEF,Crystal Palace,45,a,1.0,11,2.2
141,TrevohChalobah,DEF,Chelsea,46,a,1.0,11,2.2
391,SamSurridge,FWD,Nott'm Forest,47,a,1.0,11,2.2
371,Joelinton CássioApolinário de Lira,MID,Newcastle,59,a,1.0,11,2.2
283,MohamedSalah,MID,Liverpool,127,a,1.0,11,2.2
610,ManuelAkanji,DEF,Man City,50,a,1.0,11,2.2
433,Pierre-EmileHøjbjerg,MID,Spurs,55,a,1.0,11,2.2
346,AndreasHoelgebaum Pereira,MID,Fulham,44,a,1.0,16,3.2
514,CheickDoucouré,MID,Crystal Palace,50,a,1.0,16,3.2
169,EberechiEze,MID,Crystal Palace,55,a,1.0,16,3.2
538,AshleyYoung,DEF,Aston Villa,44,a,1.0,16,3.2
44,EzriKonsa Ngoyo,DEF,Aston Villa,44,a,1.0,16,3.2
422,GavinBazunu,GKP,Southampton,45,a,1.0,16,3.2
90,MadsRoerslev Rasmussen,DEF,Brentford,43,a,1.0,16,3.2
222,LukeAyling,DEF,Leeds,45,a,1.0,16,3.2
145,KaiHavertz,FWD,Chelsea,78,a,1.0,16,3.2
327,DavidDe Gea Quintana,GKP,Man Utd,50,a,1.0,22,4.4
104,PascalGroß,MID,Brighton,55,a,1.0,22,4.4
215,KennyTete,DEF,Fulham,44,a,1.0,22,4.4
46,Douglas LuizSoares de Paulo,MID,Aston Villa,48,a,1.0,22,4.4
45,LeonBailey,MID,Aston Villa,45,a,1.0,22,4.4
341,AaronWan-Bissaka,DEF,Man Utd,43,a,1.0,22,4.4
2,BerndLeno,GKP,Fulham,45,a,1.0,27,5.4
171,MichaelOlise,MID,Crystal Palace,54,a,1.0,27,5.4
88,MathiasJensen,MID,Brentford,48,a,1.0,27,5.4
92,EthanPinnock,DEF,Brentford,44,a,1.0,27,5.4
40,OllieWatkins,FWD,Aston Villa,71,a,1.0,27,5.4
465,JarrodBowen,MID,West Ham,80,a,1.0,27,5.4
335,MarcusRashford,MID,Man Utd,72,a,1.0,44,8.8
418,MoussaDjenepo,MID,Southampton,50,a,1.0,1,0.2
8,KieranTierney,DEF,Arsenal,46,a,1.0,1,0.2
188,YerryMina,DEF,Everton,43,a,1.0,1,0.2
676,DavidOzoh,MID,Crystal Palace,45,a,1.0,1,0.2
110,NealMaupay,FWD,Everton,59,a,1.0,1,0.2
153,JamesTomkins,DEF,Crystal Palace,39,a,1.0,1,0.2
653,OmariHutchinson,MID,Chelsea,43,a,1.0,1,0.2
400,TheoWalcott,MID,Southampton,48,a,1.0,1,0.2
139,BenChilwell,DEF,Chelsea,58,a,1.0,1,0.2
523,HarryToffolo,DEF,Nott'm Forest,43,a,1.0,1,0.2
244,RasmusKristensen,DEF,Leeds,48,a,1.0,1,0.2
291,CurtisJones,MID,Liverpool,49,a,1.0,1,0.2
566,JosephHodge,MID,Wolves,44,a,1.0,1,0.2
158,LukaMilivojevic,MID,Crystal Palace,42,a,1.0,1,0.2
146,ReeceJames,DEF,Chelsea,57,a,1.0,1,0.2
239,JuniorFirpo Adames,DEF,Leeds,45,a,1.0,1,0.2
544,Jan Paulvan Hecke,DEF,Brighton,40,a,1.0,1,0.2
342,DiogoDalot Teixeira,DEF,Man Utd,47,a,1.0,1,0.2
552,ElliotAnderson,MID,Newcastle,44,a,1.0,1,0.2
651,AndrewMoran,MID,Brighton,45,a,1.0,1,0.2
665,BenDoak,MID,Liverpool,45,a,1.0,1,0.2
524,LewisO'Brien,MID,Nott'm Forest,48,a,1.0,1,0.2
273,LewisBrunt,DEF,Leicester,39,a,1.0,1,0.2
316,ColePalmer,MID,Man City,43,a,1.0,1,0.2
312,RúbenGato Alves Dias,DEF,Man City,59,a,1.0,1,0.2
65,JackStacey,DEF,Bournemouth,43,a,1.0,1,0.2
18,AlbertSambi Lokonga,MID,Crystal Palace,43,a,1.0,1,0.2
360,JamaalLascelles,DEF,Newcastle,43,a,1.0,-1,-0.2
410,JanBednarek,DEF,Southampton,42,a,1.0,2,0.4
471,BenJohnson,DEF,West Ham,44,a,1.0,2,0.4
515,KeaneLewis-Potter,MID,Brentford,52,a,1.0,2,0.4
25,FábioFerreira Vieira,MID,Arsenal,56,a,1.0,2,0.4
612,WoutFaes,DEF,Leicester,43,a,1.0,2,0.4
292,KonstantinosTsimikas,DEF,Liverpool,44,a,1.0,2,0.4
344,AnthonyElanga,MID,Man Utd,47,a,1.0,2,0.4
508,LuisSinisterra Lucumí,MID,Leeds,65,a,1.0,2,0.4
276,JoelMatip,DEF,Liverpool,59,a,1.0,2,0.4
518,WayneHennessey,GKP,Nott'm Forest,39,a,1.0,2,0.4
625,DiegoDa Silva Costa,FWD,Wolves,54,a,1.0,2,0.4
5,RobHolding,DEF,Arsenal,42,a,1.0,2,0.4
195,AnthonyGordon,MID,Newcastle,52,a,1.0,2,0.4
423,ArmelBella-Kotchap,DEF,Southampton,45,a,1.0,2,0.4
123,DenizUndav,FWD,Brighton,51,a,1.0,2,0.4
686,EllisSimms,FWD,Everton,45,a,1.0,2,0.4
149,BillyGilmour,MID,Brighton,43,a,1.0,2,0.4
108,AdamWebster,DEF,Brighton,45,a,1.0,2,0.4
87,SamanGhoddos,MID,Brentford,48,a,1.0,2,0.4
613,LayvinKurzawa,DEF,Fulham,43,a,1.0,2,0.4
477,JonathanCastro Otto,DEF,Wolves,43,a,1.0,2,0.4
580,MikkelDamsgaard,MID,Brentford,51,a,1.0,2,0.4
325,KalvinPhillips,MID,Man City,48,a,1.0,2,0.4
416,IbrahimaDiallo,MID,Southampton,42,a,1.0,4,0.8
185,AbdoulayeDoucouré,MID,Everton,53,a,1.0,4,0.8
476,RaúlJiménez,FWD,Wolves,67,a,1.0,4,0.8
71,ChrisMepham,DEF,Bournemouth,44,a,1.0,4,0.8
